acc,auc,dataset,fold,framework,id,info,logloss,metric_error,metric_score,mode,models,models_ensemble,params,problem_type,seed,tag,time_infer_s,time_train_s,utc,version
0.69255,0.764506,Albert,0,autogluon_nonn_1h,openml.org/t/189356,,,0.23549399999999998,0.764506,local,10.0,10.0,,binary,449688453,stable,16.6357,839.9,2020-02-03T08:59:38,0.0.5
0.947208,0.87611,Amazon_employee_access,0,autogluon_nonn_1h,openml.org/t/34539,,,0.12388999999999994,0.87611,local,10.0,10.0,,binary,3620261518,stable,0.402361,29.2,2020-02-03T08:35:44,0.0.5
0.994868,0.994847,APSFailure,0,autogluon_nonn_1h,openml.org/t/168868,,,0.005152999999999963,0.994847,local,10.0,10.0,,binary,1507249033,stable,0.142555,121.4,2020-02-03T08:38:03,0.0.5
0.8695649999999999,0.93039,Australian,0,autogluon_nonn_1h,openml.org/t/146818,,,0.06960999999999995,0.93039,local,10.0,10.0,,binary,468463036,stable,0.13929,8.2,2020-02-03T08:34:17,0.0.5
0.909774,0.93919,bank-marketing,0,autogluon_nonn_1h,openml.org/t/14965,,,0.06081000000000003,0.93919,local,10.0,10.0,,binary,1758039647,stable,1.40966,32.7,2020-02-03T08:35:59,0.0.5
0.76,0.758772,blood-transfusion,0,autogluon_nonn_1h,openml.org/t/10101,,,0.241228,0.758772,local,10.0,10.0,,binary,523430959,stable,0.0134907,7.9,2020-02-03T08:34:20,0.0.5
1.0,,car,0,autogluon_nonn_1h,openml.org/t/146821,,0.0012724,0.0012724,0.0012724,local,8.0,8.0,,multiclass,1020163513,stable,0.0520072,37.5,2020-02-03T08:34:55,0.0.5
0.741697,0.8324229999999999,christine,0,autogluon_nonn_1h,openml.org/t/168908,,,0.1675770000000001,0.8324229999999999,local,10.0,10.0,,binary,931768908,stable,1.59721,165.4,2020-02-03T08:38:04,0.0.5
0.962963,,cnae-9,0,autogluon_nonn_1h,openml.org/t/9981,,0.188445,0.188445,0.188445,local,10.0,10.0,,multiclass,724939404,stable,0.822801,35.5,2020-02-03T08:35:05,0.0.5
0.8684129999999999,,connect-4,0,autogluon_nonn_1h,openml.org/t/146195,,0.344431,0.344431,0.344431,local,10.0,10.0,,multiclass,842856915,stable,2.22003,252.6,2020-02-03T08:40:03,0.0.5
