id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,models_ensemble,predict_duration
openml.org/t/7593,Covertype,AutoPilot,0,,local,1.0,,stable,2020-02-05T03:27:43,3701.2,,3731617325,AssertionError: AutoPilot did not finish training any models,,,
openml.org/t/7593,Covertype,AutoPilot,1,,local,1.0,,stable,2020-02-05T03:28:00,17.0,,3731617326,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/7593,Covertype,AutoPilot,2,,local,1.0,,stable,2020-02-05T03:28:17,16.8,,3731617327,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/7593,Covertype,AutoPilot,3,,local,1.0,,stable,2020-02-05T03:28:34,16.9,,3731617328,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/7593,Covertype,AutoPilot,4,,local,1.0,,stable,2020-02-05T03:28:51,16.7,,3731617329,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
openml.org/t/7593,Covertype,AutoPilot,5,,local,1.0,,stable,2020-02-05T03:29:08,17.0,,3731617330,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/7593,Covertype,AutoPilot,6,,local,1.0,,stable,2020-02-05T03:29:24,16.6,,3731617331,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/7593,Covertype,AutoPilot,7,,local,1.0,,stable,2020-02-05T03:29:41,16.6,,3731617332,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
openml.org/t/7593,Covertype,AutoPilot,8,,local,1.0,,stable,2020-02-05T03:29:58,16.9,,3731617333,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/7593,Covertype,AutoPilot,9,,local,1.0,,stable,2020-02-05T03:30:14,16.7,,3731617334,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
openml.org/t/31,credit-g,AutoPilot,0,,local,1.0,,stable,2020-02-04T04:18:19,305.7,,2111382903,AssertionError: Could not complete the data builder processing job. The AutoML Job cannot continue. Failed Job Arn: arn:aws:sagemaker:us-east-1:397262719838:processing-job/db-1-9a16792b5250409a942d...,,,
